seqCorp,法人コード,法人の名称,法人の名称フリガナ,法人区分,行政庁,法人番号(JCN),郵便番号,主たる事務所の住所,代表電話番号,代表者の氏名,ホームページアドレス,事業年度,事業の種類,事業の概要,税額控除に係る証明
5,A008460,公益財団法人高槻市文化スポーツ振興事業団,コウエキザイダンホウジンタカツキシブンカスポーツシンコウジギョウダン,公益財団法人,大阪府,3120905004691,569-0077,大阪府高槻市野見町6番8号,072-671-1063,桐山 清澄,https://www.takatsuki-bsj.jp/,04月01日~03月31日,"文化及び芸術の振興を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",地域の芸術文化の振興を図る事業、スポーツ活動の振興を図る事業及び高槻市の文化施設(高槻市立文化会館等)の管理運営,
15,A017449,公益財団法人世界宗教者平和会議日本委員会,コウエキザイダンホウジンセカイシュウキョウシャヘイワカイギニホンイインカイ,公益財団法人,内閣府,8011305001872,166-0012,東京都杉並区和田2丁目7番1号普門メディアセンター3階,03-3384-2337,戸松 義晴,http://www.wcrp.or.jp,04月01日~03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業、
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業、
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業",公益財団法人世界宗教者平和会議日本委員会_kana,【証明】公益財団法人世界宗教者平和会議日本委員会[税額控除]
19,A017395,公益財団法人箕面市国際交流協会,コウエキザイダンホウジンミノオシコクサイコウリュウキョウカイ,公益財団法人,大阪府,6120905003336,562-0032,大阪府箕面市小野原西5丁目2番36号箕面市立多文化交流センター内,072-727-6912,前田 一成,http://www.mafga.or.jp,04月01日~03月31日,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業、
地域社会の健全な発展を目的とする事業",日本語教室や多言語相談など、在住外国人支援事業のほか、語学講座や国際理解教育などの国際交流事業及び多文化共生社会の実現に向けた啓発事業を実施。,【証明】公益財団法人箕面市国際交流協会〔税額控除〕
26,A008870,公益財団法人福岡県学校給食会,コウエキザイダンホウジンフクオカケンガッコウキュウショクカイ,公益財団法人,福岡県,1290005013273,818-8511,福岡県筑紫野市紫3丁目1番1号,092-923-3322,日高 公徳,https://www.fukukyuu.or.jp,04月01日~03月31日,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業,"・学校給食用物資の安定供給に関する事業
・学校給食用物資の安全性確保及び衛生管理に関する事業
・学校給食を通じた食育推進及び食育の支援に関する事業
・学校給食の普及充実に関する事業",
31,A008038,公益財団法人北海道新聞社会福祉振興基金,コウエキザイダンホウジンホッカイドウシンブンシャカイフクシシンコウキキン,公益財団法人,北海道,8430005010869,060-8711,北海道札幌市中央区大通東4丁目1番地北海道新聞社内,011-210-5751,宮口 宏夫,https://fukushi.hokkaido-np.co.jp/,04月01日~03月31日,障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業,(1)社会福祉法人、社会福祉団体等に対する助成金の交付(2)母子家庭等の生徒に対する奨学金の支給(3)社会福祉法人等に対する低利資金の貸し付け(4)道民に対し社会福祉増進に必要な啓発事業など,公益財団法人北海道新聞社会福祉振興基金(税額控除)
42,A008357,公益財団法人えどがわ環境財団,コウエキザイダンホウジンエドガワカンキョウザイダン,公益財団法人,東京都,3011705001106,132-0031,東京都江戸川区松島1丁目44番12号KTパークビル,03-5662-5541,弓場 宏之,https://www.edogawa-kankyozaidan.jp/,04月01日~03月31日,"学術及び科学技術の振興を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
地球環境の保全又は自然環境の保護及び整備を目的とする事業、
地域社会の健全な発展を目的とする事業",江戸川区内にある豊かな水と緑の環境の利用を促進し緑化思想を推進するとともに、豊かな人間性の高揚を目的とした動物とのふれあい事業を行う。,
45,A017163,公益財団法人やすらぎ霊園,コウエキザイダンホウジンヤスラギレイエン,公益財団法人,高知県,4490005000249,780-8031,高知県高知市大原町109番地コーエイハイツグランド203号,088-834-3310,北本哲也,http://www.sakura3939.jp,04月01日~03月31日,公衆衛生の向上を目的とする事業,地域住民の福祉と公共衛生の向上に寄与するため、墓地・納骨堂を計画的に設置し、その経営管理を行う。,
49,A017998,公益財団法人川崎市老人クラブ連合会,コウエキザイダンホウジン カワサキシロウジンクラブレンゴウカイ,公益財団法人,神奈川県,6020005008262,210-0834,神奈川県川崎市川崎区大島1丁目9番地6号,044-222-4543,結城 勝彦,http://www.kawarouren.or.jp/,04月01日~03月31日,高齢者の福祉の増進を目的とする事業,"老人福祉の精神に基づき、川崎市内の老人クラブ活動の充実を図るとともに、
老人の健康維持及び生活向上を期し、もって老人福祉の向上に寄与する。",
64,A008643,公益財団法人いばらき腎臓財団,コウエキザイダンホウジンイバラキジンゾウザイダン,公益財団法人,茨城県,4050005005424,305-8576,茨城県つくば市天久保2丁目1番地の1,029-858-3775,山縣 邦弘,http://www.ibajinbank.com/,04月01日~03月31日,"学術及び科学技術の振興を目的とする事業、
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
公衆衛生の向上を目的とする事業",臓器移植に関する事業普及啓発及び慢性腎臓病予防に関する事業、並びに研究助成と褒賞事業を行う。,[税額控除に係る証明書]公益財団法人いばらき腎臓財団
68,A008968,公益財団法人日本キリスト教文化協会,コウエキザイダンホウジンニホンキリストキョウブンカキョウカイ,公益財団法人,内閣府,6010005018931,104-0061,東京都中央区銀座4丁目5番1号教文館ビル7階,03-3561-8446,大島 力,http://www.bunka-kyokai.or.jp,04月01日~03月31日,"文化及び芸術の振興を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業",キリスト教文化の普及啓発につとめ、より良い社会の形成に寄与することを目的とし、図書館の運営と講演会等の開催、キリスト教文化の普及啓発に貢献した人物の顕彰、そのほか必要な事業を日本全国において行う,
78,A017441,公益財団法人大分県総合雇用推進協会,コウエキザイダンホウジンオオイタケンソウゴウコヨウスイシンキョウカイ,公益財団法人,大分県,2320005000176,870-0035,大分県大分市中央町四丁目2番16号,097-532-8486,杉原 正晴,https://www.koyosuishin-oita.jp/,04月01日~03月31日,勤労意欲のある者に対する就労の支援を目的とする事業,県内における地域雇用開発を推進するなど、若者の県内定住のための事業や高齢者・障害者等の雇用支援に関する各種雇用対策事業を推進している。,
80,A018056,公益財団法人げんでんふれあい茨城財団,コウエキザイダンホウジンゲンデンフレアイイバラキザダン,公益財団法人,茨城県,5050005001736,319-1198,茨城県那珂郡東海村大字白方1番地の1,029-287-1251,坂佐井 豊,http://www.genden-ibarakizaidan.or.jp/,04月01日~03月31日,"学術及び科学技術の振興を目的とする事業、
文化及び芸術の振興を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
地球環境の保全又は自然環境の保護及び整備を目的とする事業","美しい自然と歴史にあふれる茨城県において、地域団体との連携あるいはその活動を支援し、地域文化と科学技術の振興及び青少年等の人材育成に関する事業、並びに「ふれあい」と「ゆとり」の創造に関する事業を行い、もって豊かな地域文化の振興、発展に寄与する以下の事業を行う。
(1)地域文化、科学技術の振興に関する事業(2)青少年等の人材育成に関する事業(3)「ふれあい」及び「ゆとり」の創造に関する事業(4)その他目的を達成するために必要な事業",
81,A009515,公益財団法人東京都水泳協会,コウエキザイダンホウジントウキョウトスイエイキョウカイ,公益財団法人,東京都,2011005003555,150-0012,東京都渋谷区広尾1丁目3番18号,03-5422-6147,北島 康介,,04月01日~03月31日,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業,東京都民の水泳・水泳競技及びその競技会を成立させるための基礎条件の整備・普及事業,【税額控除証明書】 公益財団法人東京都水泳協会  令和2年4月24日~令和7年4月23日
85,A008267,公益財団法人沖縄県国際交流・人材育成財団,コウエキザイダンホウジンオキナワケンコクサイコウリュウ・ジンザイイクセイザイダン,公益財団法人,沖縄県,2360005000180,901-2221,沖縄県宜野湾市伊佐3丁目4番1号第5タテルマンビル3階,098-942-9212,宮城 淳,http://www.oihf.or.jp/,04月01日~03月31日,"学術及び科学技術の振興を目的とする事業、
児童又は青少年の健全な育成を目的とする事業",沖縄県内に住所を有する子弟のうち、優秀な学生又は生徒で経済的理由によって修学困難な者に対し、学資を貸与又は給与、若しくは住居を貸与し、併せて留学助成その他必要な事業を行うとともに、海外からの留学生等の受入れその他国際交流・協力に関する事業を行い、もって本県の教育、文化及び産業の発展に資するための国際性豊かな有益な人材の育成並びに国際交流・協力拠点の形成を図ること,
89,A008864,公益財団法人香川県学校給食会,コウエキザイダンホウジンカガワケンガッコウキュウショクカイ,公益財団法人,香川県,8470005005287,760-0004,香川県高松市西宝町2丁目6番40号 香川県教育会館4階香川県教育会館4階,087-833-0816,田中 光,http://www.kagawa-gk.or.jp/,04月01日~03月31日,"児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",香川県内における学校給食の円滑な実施及びその充実発展を支援し、もって広く児童生徒の心身の健全な発達並びに学校給食をとおした食育の推進に寄与することを目的とした事業を実施しています。,
